username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mbagaspraditya;2019-01-24 02:00;0;0;"kalo kata kmu ‘dikit’";;;;"1088149526039355392";https://twitter.com/mbagaspraditya/status/1088149526039355392
mbagaspraditya;2019-01-24 01:53;0;0;"biarin biar kmu kgn";;;;"1088147852973363200";https://twitter.com/mbagaspraditya/status/1088147852973363200
mbagaspraditya;2019-01-24 01:18;0;0;"pamit vakum sehari doang wkwk";;;;"1088138840353587200";https://twitter.com/mbagaspraditya/status/1088138840353587200
mbagaspraditya;2019-01-23 19:53;0;0;"pic.twitter.com/ApbRlxGRP8";;;;"1088057238768369664";https://twitter.com/mbagaspraditya/status/1088057238768369664
mbagaspraditya;2019-01-23 17:55;0;0;"apasi maraa”";;;;"1088027381116194818";https://twitter.com/mbagaspraditya/status/1088027381116194818
mbagaspraditya;2019-01-23 10:06;0;0;"wkakaka si gombaaaaal";;;;"1087909377669877760";https://twitter.com/mbagaspraditya/status/1087909377669877760
mbagaspraditya;2019-01-23 10:03;0;0;"aku emng baik";;;;"1087908540168101888";https://twitter.com/mbagaspraditya/status/1087908540168101888
mbagaspraditya;2019-01-23 01:54;0;0;"nighttt sayaanggg @syerrawidya24";;@syerrawidya24;;"1087785528353710080";https://twitter.com/mbagaspraditya/status/1087785528353710080
mbagaspraditya;2019-01-22 21:18;0;0;"takut";;;;"1087716248006254592";https://twitter.com/mbagaspraditya/status/1087716248006254592
mbagaspraditya;2019-01-22 21:10;0;0;"maraamaraaaaaaaaaa";;;;"1087714182366093312";https://twitter.com/mbagaspraditya/status/1087714182366093312
mbagaspraditya;2019-01-22 19:57;0;0;"wkwkwkw";;;;"1087695766380933120";https://twitter.com/mbagaspraditya/status/1087695766380933120
mbagaspraditya;2019-01-22 19:45;0;0;"mabok";;;;"1087692827318878208";https://twitter.com/mbagaspraditya/status/1087692827318878208
mbagaspraditya;2019-01-22 18:30;0;0;"wadu ada apaan ni";;;;"1087673851759144960";https://twitter.com/mbagaspraditya/status/1087673851759144960
