username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hipstermaid;2019-01-23 23:46;31;140;"sori, engga";;;;"1088115887586996225";https://twitter.com/hipstermaid/status/1088115887586996225
hipstermaid;2019-01-23 23:06;2;27;"lho benrat2.. dua duanya engak di elu nar";;;;"1088105710892662784";https://twitter.com/hipstermaid/status/1088105710892662784
hipstermaid;2019-01-23 23:05;2;57;"lucu, enak diliat mukanya";;;;"1088105518969700353";https://twitter.com/hipstermaid/status/1088105518969700353
hipstermaid;2019-01-23 22:57;0;46;"danar mau gw beliin scoopy";;;;"1088103404314886145";https://twitter.com/hipstermaid/status/1088103404314886145
hipstermaid;2019-01-23 22:56;3;28;"bener";;;;"1088103259846234112";https://twitter.com/hipstermaid/status/1088103259846234112
hipstermaid;2019-01-23 22:48;41;169;"pic.twitter.com/e1Jm3fX8fx";;;;"1088101145669595136";https://twitter.com/hipstermaid/status/1088101145669595136
hipstermaid;2019-01-23 22:41;230;443;"pic.twitter.com/R5MQ8ppYNy";;;;"1088099419868688384";https://twitter.com/hipstermaid/status/1088099419868688384
hipstermaid;2019-01-23 22:39;10;101;"?????";;;;"1088099019451060230";https://twitter.com/hipstermaid/status/1088099019451060230
hipstermaid;2019-01-23 00:07;4;27;"dude my career has been ruined already";;;;"1087758601479831552";https://twitter.com/hipstermaid/status/1087758601479831552
hipstermaid;2019-01-22 23:59;0;5;"ayo bola 9 sini bajingan";;;;"1087756619998420992";https://twitter.com/hipstermaid/status/1087756619998420992
hipstermaid;2019-01-22 23:59;0;4;"iya makanya";;;;"1087756586368389120";https://twitter.com/hipstermaid/status/1087756586368389120
hipstermaid;2019-01-22 23:41;0;9;"nah iy mo ke greenlake tdbya yg di aussie cm gadibolehin sma arap";;;;"1087752065433010176";https://twitter.com/hipstermaid/status/1087752065433010176
hipstermaid;2019-01-22 23:34;0;5;"gtau";;;;"1087750452765061121";https://twitter.com/hipstermaid/status/1087750452765061121
hipstermaid;2019-01-22 23:34;0;5;"ya x";;;;"1087750315925954560";https://twitter.com/hipstermaid/status/1087750315925954560
hipstermaid;2019-01-22 23:20;3;13;"dia marah pas gw blg mo pindah ke tangerang mkanayb cari lgi yg djet";;;;"1087746804504907778";https://twitter.com/hipstermaid/status/1087746804504907778
hipstermaid;2019-01-22 23:19;0;3;"jan lupa pke xanax mas us";;;;"1087746663710482432";https://twitter.com/hipstermaid/status/1087746663710482432
hipstermaid;2019-01-22 23:15;4;24;"kacau bg mau gw becandain tkut'a ngambek";;;;"1087745457160253440";https://twitter.com/hipstermaid/status/1087745457160253440
hipstermaid;2019-01-22 23:11;1799;1647;"kurangin nyimeng pic.twitter.com/RRutIuuV41";;;;"1087744542395138048";https://twitter.com/hipstermaid/status/1087744542395138048
hipstermaid;2019-01-22 19:50;4;19;"klaten da.. lo dmn di pesantren gw dlu ada ayunannya";;;;"1087694056090554368";https://twitter.com/hipstermaid/status/1087694056090554368
hipstermaid;2019-01-22 19:42;2;33;"3 org sbnrny tdi 4 yg satu kena do gara2 ketauan ngerokok di kamar mndi";;;;"1087692090681638912";https://twitter.com/hipstermaid/status/1087692090681638912
hipstermaid;2019-01-22 19:36;1;5;"emg dh lucu";;;;"1087690478500274177";https://twitter.com/hipstermaid/status/1087690478500274177
hipstermaid;2019-01-22 19:36;4;35;"idup2 gw";;;;"1087690368278159362";https://twitter.com/hipstermaid/status/1087690368278159362
