username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Iradiojakarta;2019-01-24 06:17;2;3;"Selamat pagi i-listeners. Di akhir bulan ini tetap semangat ya karena gajian sebentar lagi. Pastinya duet @Melanie_putria dan @rico_cepero sudah siap menemani anda beraktivitas di #MasihPagiPagi pic.twitter.com/xU2Svdtloy";;@Melanie_putria @rico_cepero;#MasihPagiPagi;"1088214111589027841";https://twitter.com/Iradiojakarta/status/1088214111589027841
Iradiojakarta;2019-01-23 17:19;2;2;"I-listeners, pernah engga sih diremehin pas beli sesuatu? Lapor ke #KAGOK di #MasihSoreSore ya :)";;;#KAGOK #MasihSoreSore;"1088018296253771777";https://twitter.com/Iradiojakarta/status/1088018296253771777
Iradiojakarta;2019-01-23 16:05;0;0;"Waktunya kita seru-seruan lagi di #MasihSoreSore bareng #KAGOK sampai jam 8 malam ya :) @kamalrasyid @angganggok";;@kamalrasyid @angganggok;#MasihSoreSore #KAGOK;"1087999745207951360";https://twitter.com/Iradiojakarta/status/1087999745207951360
Iradiojakarta;2019-01-23 13:39;0;1;"@GAC_music #Laguhariini bercerita Tentang kasih semangat untuk menjalani hidup hari ini. kira-kira, hari ini anda semangat ngga hari ini, I Listeners ? :) #10lagukeren #Rezabima pic.twitter.com/VofFZ4lLBI";;@GAC_music;#Laguhariini #10lagukeren #Rezabima;"1087963129974263813";https://twitter.com/Iradiojakarta/status/1087963129974263813
Iradiojakarta;2019-01-23 13:23;2;0;"Menurut @rizky_febian lagu #HargaiCinta menceritakan bagaimana cara menghargai sebuah hubungan. Bukan sekadar memiliki, menjalani, atau mencari status, tapi gimana caranya buat mempertahankan hubungan. #10lagukeren #Rezabima pic.twitter.com/wXvz6R6Qzc";;@rizky_febian;#HargaiCinta #10lagukeren #Rezabima;"1087959013793386496";https://twitter.com/Iradiojakarta/status/1087959013793386496
Iradiojakarta;2019-01-23 13:20;0;1;"#RinduSendiri - @iqbaale , diciptakan oleh dua orang anak SMAN 1 Bogor berusia bernama Tarapti Ikhtiar Rinrin bersama temannya, Agy. rupanya di antara bertiga sudah bukan ‘orang lain’. Mereka memang tergabung dalam sebuah grup band bernama Svmmerdose. #10lagukeren #Rezabima pic.twitter.com/YCHtJauLPX";;@iqbaale;#RinduSendiri #10lagukeren #Rezabima;"1087958286152974338";https://twitter.com/Iradiojakarta/status/1087958286152974338
Iradiojakarta;2019-01-23 13:10;1;0;"@didevirzha kolaborasi dengan Rian Ekky Pradipta dalam penulisan lirik lagu berjudul #Optimis . Ia sengaja mengajak vokalis D'Masiv berkolaborasi karena dianggap sebagai musisi yang cukup matang. #10lagukeren #Rezabima pic.twitter.com/fGWBv1wCkx";;@didevirzha;#Optimis #10lagukeren #Rezabima;"1087955707633328129";https://twitter.com/Iradiojakarta/status/1087955707633328129
Iradiojakarta;2019-01-23 10:39;0;0;"konser MONOKROM dari @tulusm juga kan digelar bulan Februari loh I listeners, jangan sampai kelewatan buat nonton yaa.. yuk kita dukung karya dari musisi Indonesia sambil dengerin lagu LABIRIN di #10lagukeren pic.twitter.com/dt3n0K9YUh";;@tulusm;#10lagukeren;"1087917607263580160";https://twitter.com/Iradiojakarta/status/1087917607263580160
Iradiojakarta;2019-01-23 10:31;0;0;"Bulan februari nanti kaka @GlennFredly bakal bikin konser akustik pertama barengan The Bakucakar di jakarta. nah, sekarang kita latihan sambil nyanyi bareng lagu TERSERAH dulu yuk di #10lagukeren pic.twitter.com/uDbslmTiOT";;@GlennFredly;#10lagukeren;"1087915614625243136";https://twitter.com/Iradiojakarta/status/1087915614625243136
Iradiojakarta;2019-01-23 10:29;0;0;"TEDUHNYA WANITA dari @raisa6690 juga siap nemenin I listeners nih yang lagi menikmati cuaca adem diluar sana. nah, biar makin adem yuk merapat ke #10lagukeren pic.twitter.com/I6wY471Q4a";;@raisa6690;#10lagukeren;"1087915136873103360";https://twitter.com/Iradiojakarta/status/1087915136873103360
